Aggregated Community-Scale Utility Energy Data,,,,,
,,,,,
Municipality,County,Municipality,Year,Total Residential Electricity,Total Residential Natural Gas
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth County",2017,NDA,1472927
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth County",2018,16521427,1702339
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth County",2019,16061520,1577333
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth County",2020,16889442,1455566
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth County",2021,17284653,1551611
Branchburg township,Somerset,"Branchburg township, Somerset County",2015,59621102,5537441
Branchburg township,Somerset,"Branchburg township, Somerset County",2016,449183,5095537
Branchburg township,Somerset,"Branchburg township, Somerset County",2017,428716,5221666
Branchburg township,Somerset,"Branchburg township, Somerset County",2018,59105086,5710339
Branchburg township,Somerset,"Branchburg township, Somerset County",2019,57165179,5564340
Branchburg township,Somerset,"Branchburg township, Somerset County",2020,58816849,5138791
Branchburg township,Somerset,"Branchburg township, Somerset County",2021,60378352,5350226
Branchville borough,Sussex,"Branchville borough, Sussex County",2015,3646803,NDA
Branchville borough,Sussex,"Branchville borough, Sussex County",2016,NDA,NDA
Branchville borough,Sussex,"Branchville borough, Sussex County",2017,NDA,NDA
Branchville borough,Sussex,"Branchville borough, Sussex County",2018,4414146,NDA
Branchville borough,Sussex,"Branchville borough, Sussex County",2019,3996486,NDA
Branchville borough,Sussex,"Branchville borough, Sussex County",2020,4019116,NDA
Branchville borough,Sussex,"Branchville borough, Sussex County",2021,4074184,NDA
Brick township,Ocean,"Brick township, Ocean County",2015,305110883,21255519
Brick township,Ocean,"Brick township, Ocean County",2016,NDA,19086441
Brick township,Ocean,"Brick township, Ocean County",2017,NDA,19314076
Brick township,Ocean,"Brick township, Ocean County",2018,303174218,22538247
Brick township,Ocean,"Brick township, Ocean County",2019,291950296,21534973
Brick township,Ocean,"Brick township, Ocean County",2020,295496332,19402922
Brick township,Ocean,"Brick township, Ocean County",2021,303276702,20725854
Bridgeton city,Cumberland,"Bridgeton city, Cumberland County",2015,127618518,3128259
Bridgeton city,Cumberland,"Bridgeton city, Cumberland County",2016,119932240,2744149
Bridgeton city,Cumberland,"Bridgeton city, Cumberland County",2017,113143421,2741101
Bridgeton city,Cumberland,"Bridgeton city, Cumberland County",2018,118147045,3342269
Bridgeton city,Cumberland,"Bridgeton city, Cumberland County",2019,112214602,3143264
Bridgeton city,Cumberland,"Bridgeton city, Cumberland County",2020,114219742,2991417
Bridgeton city,Cumberland,"Bridgeton city, Cumberland County",2021,116902601,3309830
Bridgewater township,Somerset,"Bridgewater township, Somerset County",2015,156222979,16523673
Bridgewater township,Somerset,"Bridgewater township, Somerset County",2016,122738149,14579021
Bridgewater township,Somerset,"Bridgewater township, Somerset County",2017,116811217,14881580
Bridgewater township,Somerset,"Bridgewater township, Somerset County",2018,155370651,17265139
Bridgewater township,Somerset,"Bridgewater township, Somerset County",2019,146732027,16116492
Bridgewater township,Somerset,"Bridgewater township, Somerset County",2020,152105517,14642528
Bridgewater township,Somerset,"Bridgewater township, Somerset County",2021,152914641,15313490
Brielle borough,Monmouth,"Brielle borough, Monmouth County",2015,26111939,2259372
Brielle borough,Monmouth,"Brielle borough, Monmouth County",2016,NDA,1894088
Brielle borough,Monmouth,"Brielle borough, Monmouth County",2017,NDA,2029990
Brielle borough,Monmouth,"Brielle borough, Monmouth County",2018,26433811,2287017
Brielle borough,Monmouth,"Brielle borough, Monmouth County",2019,25844802,2207201
Brielle borough,Monmouth,"Brielle borough, Monmouth County",2020,26558818,21859132
Brielle borough,Monmouth,"Brielle borough, Monmouth County",2021,27143308,21864724
Brigantine city,Atlantic,"Brigantine city, Atlantic County",2015,61141153,4277053
Brigantine city,Atlantic,"Brigantine city, Atlantic County",2016,57961074,3625538
Brigantine city,Atlantic,"Brigantine city, Atlantic County",2017,53773877,3556093
Brigantine city,Atlantic,"Brigantine city, Atlantic County",2018,60330307,4461349
Brigantine city,Atlantic,"Brigantine city, Atlantic County",2019,57385734,4002561
Brigantine city,Atlantic,"Brigantine city, Atlantic County",2020,57919246,3568762
Brigantine city,Atlantic,"Brigantine city, Atlantic County",2021,57323709,3952165
Brooklawn borough,Camden,"Brooklawn borough, Camden County",2015,5705199,468625
Brooklawn borough,Camden,"Brooklawn borough, Camden County",2016,5695864,431237
Brooklawn borough,Camden,"Brooklawn borough, Camden County",2017,5404460,431068
Brooklawn borough,Camden,"Brooklawn borough, Camden County",2018,5718784,493974
Brooklawn borough,Camden,"Brooklawn borough, Camden County",2019,5480963,479137
Brooklawn borough,Camden,"Brooklawn borough, Camden County",2020,5517468,427997
Brooklawn borough,Camden,"Brooklawn borough, Camden County",2021,5542290,451410
Buena borough,Atlantic,"Buena borough, Atlantic County",2015,15399801,1179586
Buena borough,Atlantic,"Buena borough, Atlantic County",2016,14685681,1054097
Buena borough,Atlantic,"Buena borough, Atlantic County",2017,13620992,1022730
Buena borough,Atlantic,"Buena borough, Atlantic County",2018,25395314,1229877
Buena borough,Atlantic,"Buena borough, Atlantic County",2019,24117902,1160795
Buena borough,Atlantic,"Buena borough, Atlantic County",2020,13150015,1034123
Buena borough,Atlantic,"Buena borough, Atlantic County",2021,14244799,1173801
Buena Vista township,Atlantic,"Buena Vista township, Atlantic County",2015,38203619,1316723
Buena Vista township,Atlantic,"Buena Vista township, Atlantic County",2016,35997827,1163208
Buena Vista township,Atlantic,"Buena Vista township, Atlantic County",2017,32838715,1137328
Buena Vista township,Atlantic,"Buena Vista township, Atlantic County",2018,24108185,1409915
Buena Vista township,Atlantic,"Buena Vista township, Atlantic County",2019,22854566,1330421
Buena Vista township,Atlantic,"Buena Vista township, Atlantic County",2020,33355594,1252180
Buena Vista township,Atlantic,"Buena Vista township, Atlantic County",2021,33718307,1346340
Burlington city,Burlington,"Burlington city, Burlington County",2015,29667394,2967185
Burlington city,Burlington,"Burlington city, Burlington County",2016,29069759,2463705
Burlington city,Burlington,"Burlington city, Burlington County",2017,27631968,2572904
Burlington city,Burlington,"Burlington city, Burlington County",2018,29872735,2970857
Burlington city,Burlington,"Burlington city, Burlington County",2019,29046798,2808930
Burlington city,Burlington,"Burlington city, Burlington County",2020,29894507,2558025
Burlington city,Burlington,"Burlington city, Burlington County",2021,31722537,2865180
Burlington township,Burlington,"Burlington township, Burlington County",2015,74964199,6402371
Burlington township,Burlington,"Burlington township, Burlington County",2016,74336017,5258470
Burlington township,Burlington,"Burlington township, Burlington County",2017,70149497,5548862
Burlington township,Burlington,"Burlington township, Burlington County",2018,72904856,6432310
Burlington township,Burlington,"Burlington township, Burlington County",2019,69358515,6097124
Burlington township,Burlington,"Burlington township, Burlington County",2020,71141020,5607920
Burlington township,Burlington,"Burlington township, Burlington County",2021,71057006,6001329
Butler borough,Morris,"Butler borough, Morris County",2015,8487,2763970
Butler borough,Morris,"Butler borough, Morris County",2016,NDA,2522532
Butler borough,Morris,"Butler borough, Morris County",2017,NDA,2545712
Butler borough,Morris,"Butler borough, Morris County",2018,11125,2891258
Butler borough,Morris,"Butler borough, Morris County",2019,9725,2819713
Butler borough,Morris,"Butler borough, Morris County",2020,12085,2544946
Butler borough,Morris,"Butler borough, Morris County",2021,11252,2659080
Byram township,Sussex,"Byram township, Sussex County",2015,36589648,NDA
Byram township,Sussex,"Byram township, Sussex County",2016,NDA,NDA
Byram township,Sussex,"Byram township, Sussex County",2017,NDA,NDA
Byram township,Sussex,"Byram township, Sussex County",2018,36610156,NDA
Byram township,Sussex,"Byram township, Sussex County",2019,35020092,NDA
Byram township,Sussex,"Byram township, Sussex County",2020,35964148,NDA
Byram township,Sussex,"Byram township, Sussex County",2021,37156689,NDA
Caldwell borough,Essex,"Caldwell borough, Essex County",2015,21956248,2528116
Caldwell borough,Essex,"Caldwell borough, Essex County",2016,21847681,2306442
Caldwell borough,Essex,"Caldwell borough, Essex County",2017,20871104,2332447
Caldwell borough,Essex,"Caldwell borough, Essex County",2018,21992380,2572473
Caldwell borough,Essex,"Caldwell borough, Essex County",2019,20927807,2498837
Caldwell borough,Essex,"Caldwell borough, Essex County",2020,22066922,2266946
Caldwell borough,Essex,"Caldwell borough, Essex County",2021,21918098,2316819
Califon borough,Hunterdon,"Califon borough, Hunterdon County",2015,4694265,145285
Califon borough,Hunterdon,"Califon borough, Hunterdon County",2016,NDA,151496
Califon borough,Hunterdon,"Califon borough, Hunterdon County",2017,NDA,159458
Califon borough,Hunterdon,"Califon borough, Hunterdon County",2018,4809432,182249
Califon borough,Hunterdon,"Califon borough, Hunterdon County",2019,4624396,174233
Califon borough,Hunterdon,"Califon borough, Hunterdon County",2020,4739121,271103
Califon borough,Hunterdon,"Califon borough, Hunterdon County",2021,4881682,348950
Camden city,Camden,"Camden city, Camden County",2015,155789502,17270701
Camden city,Camden,"Camden city, Camden County",2016,157528296,15762576
Camden city,Camden,"Camden city, Camden County",2017,159547230,16555321
Camden city,Camden,"Camden city, Camden County",2018,160497124,17020016
Camden city,Camden,"Camden city, Camden County",2019,156647964,15667915
Camden city,Camden,"Camden city, Camden County",2020,162633958,14285494
Camden city,Camden,"Camden city, Camden County",2021,170849691,15349246
Cape May City,Cape May,"Cape May City, Cape May County",2015,32753952,1888078
Cape May City,Cape May,"Cape May City, Cape May County",2016,31474903,1507332
Cape May City,Cape May,"Cape May City, Cape May County",2017,29672586,1550916
Cape May City,Cape May,"Cape May City, Cape May County",2018,33264143,1973667
Cape May City,Cape May,"Cape May City, Cape May County",2019,31041878,1674251
Cape May City,Cape May,"Cape May City, Cape May County",2020,31399800,1536500
Cape May City,Cape May,"Cape May City, Cape May County",2021,32685539,1792932
Cape May Point borough,Cape May,"Cape May Point borough, Cape May County",2015,4478744,130273
Cape May Point borough,Cape May,"Cape May Point borough, Cape May County",2016,4261633,107546
Cape May Point borough,Cape May,"Cape May Point borough, Cape May County",2017,3988133,121487
Cape May Point borough,Cape May,"Cape May Point borough, Cape May County",2018,4565420,170965
Cape May Point borough,Cape May,"Cape May Point borough, Cape May County",2019,4254561,153320
Cape May Point borough,Cape May,"Cape May Point borough, Cape May County",2020,4397526,147583
Cape May Point borough,Cape May,"Cape May Point borough, Cape May County",2021,4644288,180234
Carlstadt borough,Bergen,"Carlstadt borough, Bergen County",2015,17610778,2086828
Carlstadt borough,Bergen,"Carlstadt borough, Bergen County",2016,16901648,1746442
Carlstadt borough,Bergen,"Carlstadt borough, Bergen County",2017,16003467,1767415
Carlstadt borough,Bergen,"Carlstadt borough, Bergen County",2018,16696343,1958377
Carlstadt borough,Bergen,"Carlstadt borough, Bergen County",2019,15833252,1893197
Carlstadt borough,Bergen,"Carlstadt borough, Bergen County",2020,16624547,1700202
Carlstadt borough,Bergen,"Carlstadt borough, Bergen County",2021,16416822,1758958
Carneys Point township,Salem,"Carneys Point township, Salem County",2015,21773671,1435276
Carneys Point township,Salem,"Carneys Point township, Salem County",2016,21353473,1204463
Carneys Point township,Salem,"Carneys Point township, Salem County",2017,19858048,1213136
Carneys Point township,Salem,"Carneys Point township, Salem County",2018,20942793,1465299
Carneys Point township,Salem,"Carneys Point township, Salem County",2019,20477912,1421615
Carneys Point township,Salem,"Carneys Point township, Salem County",2020,20422729,1136659
Carneys Point township,Salem,"Carneys Point township, Salem County",2021,20703087,1264270
Carteret borough,Middlesex,"Carteret borough, Middlesex County",2015,59610310,4711201
Carteret borough,Middlesex,"Carteret borough, Middlesex County",2016,63775672,5037120
Carteret borough,Middlesex,"Carteret borough, Middlesex County",2017,62317207,5227190
Carteret borough,Middlesex,"Carteret borough, Middlesex County",2018,60239886,6109503
Carteret borough,Middlesex,"Carteret borough, Middlesex County",2019,56895792,5553193
Carteret borough,Middlesex,"Carteret borough, Middlesex County",2020,59253127,8707081
Carteret borough,Middlesex,"Carteret borough, Middlesex County",2021,60229708,10640242
Cedar Grove township,Essex,"Cedar Grove township, Essex County",2015,43753318,5087020
Cedar Grove township,Essex,"Cedar Grove township, Essex County",2016,42917578,4188151
Cedar Grove township,Essex,"Cedar Grove township, Essex County",2017,41115187,4438981
Cedar Grove township,Essex,"Cedar Grove township, Essex County",2018,43672401,5005461
Cedar Grove township,Essex,"Cedar Grove township, Essex County",2019,41474204,4805960
Cedar Grove township,Essex,"Cedar Grove township, Essex County",2020,44207263,4470894
Cedar Grove township,Essex,"Cedar Grove township, Essex County",2021,45997170,4853046
Chatham borough,Morris,"Chatham borough, Morris County",2015,30330190,3646908
Chatham borough,Morris,"Chatham borough, Morris County",2016,NDA,3154003
Chatham borough,Morris,"Chatham borough, Morris County",2017,NDA,3262005
Chatham borough,Morris,"Chatham borough, Morris County",2018,29966033,3706067
Chatham borough,Morris,"Chatham borough, Morris County",2019,29148561,3477287
Chatham borough,Morris,"Chatham borough, Morris County",2020,30055783,3240315
Chatham borough,Morris,"Chatham borough, Morris County",2021,31045990,3412470
Chatham township,Morris,"Chatham township, Morris County",2015,46985969,4571519
Chatham township,Morris,"Chatham township, Morris County",2016,NDA,4007662
Chatham township,Morris,"Chatham township, Morris County",2017,NDA,4202597
Chatham township,Morris,"Chatham township, Morris County",2018,46319828,4837731
Chatham township,Morris,"Chatham township, Morris County",2019,44518266,4528181
