Aggregated Community-Scale Utility Energy Data,,,,,
,,,,,
Municipality,County,Municipality,Year,Total Residential Electricity,Total Residential Natural Gas
Berlin borough,Camden,"Berlin borough, Camden County",2021,39621541,2676318
Berlin township,Camden,"Berlin township, Camden County",2015,25968780,1240392
Berlin township,Camden,"Berlin township, Camden County",2016,24961810,1058634
Berlin township,Camden,"Berlin township, Camden County",2017,23443912,1099063
Berlin township,Camden,"Berlin township, Camden County",2018,24590830,1350248
Berlin township,Camden,"Berlin township, Camden County",2019,23533704,1288385
Berlin township,Camden,"Berlin township, Camden County",2020,24369421,1229278
Berlin township,Camden,"Berlin township, Camden County",2021,24683081,1336339
Bernards township,Somerset,"Bernards township, Somerset County",2015,122053405,12056472
Bernards township,Somerset,"Bernards township, Somerset County",2016,307,10126454
Bernards township,Somerset,"Bernards township, Somerset County",2017,3894,10818478
Bernards township,Somerset,"Bernards township, Somerset County",2018,117635311,12509388
Bernards township,Somerset,"Bernards township, Somerset County",2019,112594466,11500471
Bernards township,Somerset,"Bernards township, Somerset County",2020,116048774,10750280
Bernards township,Somerset,"Bernards township, Somerset County",2021,118189716,11228257
Bernardsville borough,Somerset,"Bernardsville borough, Somerset County",2015,46525096,3694350
Bernardsville borough,Somerset,"Bernardsville borough, Somerset County",2016,NDA,3415088
Bernardsville borough,Somerset,"Bernardsville borough, Somerset County",2017,NDA,3572604
Bernardsville borough,Somerset,"Bernardsville borough, Somerset County",2018,45627415,4160902
Bernardsville borough,Somerset,"Bernardsville borough, Somerset County",2019,44305167,3974094
Bernardsville borough,Somerset,"Bernardsville borough, Somerset County",2020,45494525,3746546
Bernardsville borough,Somerset,"Bernardsville borough, Somerset County",2021,47713081,3913042
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon County",2015,18432706,49272
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon County",2016,NDA,50888
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon County",2017,NDA,54440
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon County",2018,18050552,59510
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon County",2019,17703915,57423
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon County",2020,18310856,88958
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon County",2021,18929463,111974
Beverly city,Burlington,"Beverly city, Burlington County",2015,7558424,759269
Beverly city,Burlington,"Beverly city, Burlington County",2016,7488452,660412
Beverly city,Burlington,"Beverly city, Burlington County",2017,7138858,663164
Beverly city,Burlington,"Beverly city, Burlington County",2018,7675040,774465
Beverly city,Burlington,"Beverly city, Burlington County",2019,7690253,744539
Beverly city,Burlington,"Beverly city, Burlington County",2020,8003742,687125
Beverly city,Burlington,"Beverly city, Burlington County",2021,8356868,762289
Blairstown township,Warren,"Blairstown township, Warren County",2015,28769588,NDA
Blairstown township,Warren,"Blairstown township, Warren County",2016,NDA,NDA
Blairstown township,Warren,"Blairstown township, Warren County",2017,NDA,NDA
Blairstown township,Warren,"Blairstown township, Warren County",2018,28240464,NDA
Blairstown township,Warren,"Blairstown township, Warren County",2019,27712336,NDA
Blairstown township,Warren,"Blairstown township, Warren County",2020,28403307,NDA
Blairstown township,Warren,"Blairstown township, Warren County",2021,29343790,NDA
Bloomfield township,Essex,"Bloomfield township, Essex County",2015,116532042,13693302
Bloomfield township,Essex,"Bloomfield township, Essex County",2016,118775979,12322134
Bloomfield township,Essex,"Bloomfield township, Essex County",2017,113837552,12168106
Bloomfield township,Essex,"Bloomfield township, Essex County",2018,123279023,14574784
Bloomfield township,Essex,"Bloomfield township, Essex County",2019,115963803,13529380
Bloomfield township,Essex,"Bloomfield township, Essex County",2020,123275028,12774892
Bloomfield township,Essex,"Bloomfield township, Essex County",2021,124322084,13556831
Bloomingdale borough,Passaic,"Bloomingdale borough, Passaic County",2015,128934,2385158
Bloomingdale borough,Passaic,"Bloomingdale borough, Passaic County",2016,NDA,2089243
Bloomingdale borough,Passaic,"Bloomingdale borough, Passaic County",2017,NDA,2180974
Bloomingdale borough,Passaic,"Bloomingdale borough, Passaic County",2018,177551,2458974
Bloomingdale borough,Passaic,"Bloomingdale borough, Passaic County",2019,158264,2348621
Bloomingdale borough,Passaic,"Bloomingdale borough, Passaic County",2020,175673,2158695
Bloomingdale borough,Passaic,"Bloomingdale borough, Passaic County",2021,176673,2266706
Bloomsbury borough,Hunterdon,"Bloomsbury borough, Hunterdon County",2015,3900673,51271
Bloomsbury borough,Hunterdon,"Bloomsbury borough, Hunterdon County",2016,NDA,53960
Bloomsbury borough,Hunterdon,"Bloomsbury borough, Hunterdon County",2017,NDA,60250
Bloomsbury borough,Hunterdon,"Bloomsbury borough, Hunterdon County",2018,3659542,71667
Bloomsbury borough,Hunterdon,"Bloomsbury borough, Hunterdon County",2019,3534608,71188
Bloomsbury borough,Hunterdon,"Bloomsbury borough, Hunterdon County",2020,3630511,107681
Bloomsbury borough,Hunterdon,"Bloomsbury borough, Hunterdon County",2021,3837278,146786
Bogota borough,Bergen,"Bogota borough, Bergen County",2015,20180719,2409820
Bogota borough,Bergen,"Bogota borough, Bergen County",2016,20144532,2098439
Bogota borough,Bergen,"Bogota borough, Bergen County",2017,19428604,2179608
Bogota borough,Bergen,"Bogota borough, Bergen County",2018,20657289,2465260
Bogota borough,Bergen,"Bogota borough, Bergen County",2019,19410199,2343394
Bogota borough,Bergen,"Bogota borough, Bergen County",2020,20403358,2162510
Bogota borough,Bergen,"Bogota borough, Bergen County",2021,21358167,2370541
Boonton Town,Morris,"Boonton Town, Morris County",2015,24803841,2842916
Boonton Town,Morris,"Boonton Town, Morris County",2016,NDA,2367961
Boonton Town,Morris,"Boonton Town, Morris County",2017,NDA,2600837
Boonton Town,Morris,"Boonton Town, Morris County",2018,25289223,2997264
Boonton Town,Morris,"Boonton Town, Morris County",2019,25310227,2874265
Boonton Town,Morris,"Boonton Town, Morris County",2020,26167405,2701248
Boonton Town,Morris,"Boonton Town, Morris County",2021,26994673,2763048
Boonton township,Morris,"Boonton township, Morris County",2015,22104496,752334
Boonton township,Morris,"Boonton township, Morris County",2016,NDA,641653
Boonton township,Morris,"Boonton township, Morris County",2017,NDA,705417
Boonton township,Morris,"Boonton township, Morris County",2018,22063400,815030
Boonton township,Morris,"Boonton township, Morris County",2019,21382760,759962
Boonton township,Morris,"Boonton township, Morris County",2020,22190886,734842
Boonton township,Morris,"Boonton township, Morris County",2021,22668193,752984
Bordentown city,Burlington,"Bordentown city, Burlington County",2015,12517500,1161512
Bordentown city,Burlington,"Bordentown city, Burlington County",2016,12547398,1053667
Bordentown city,Burlington,"Bordentown city, Burlington County",2017,11885073,1027940
Bordentown city,Burlington,"Bordentown city, Burlington County",2018,12712224,1216327
Bordentown city,Burlington,"Bordentown city, Burlington County",2019,12152809,1156337
Bordentown city,Burlington,"Bordentown city, Burlington County",2020,12673725,1027156
Bordentown city,Burlington,"Bordentown city, Burlington County",2021,12744764,1110628
Bordentown township,Burlington,"Bordentown township, Burlington County",2015,37986679,3158929
Bordentown township,Burlington,"Bordentown township, Burlington County",2016,38089578,2782754
Bordentown township,Burlington,"Bordentown township, Burlington County",2017,35487326,2798078
Bordentown township,Burlington,"Bordentown township, Burlington County",2018,37760160,3219491
Bordentown township,Burlington,"Bordentown township, Burlington County",2019,35911148,3032277
Bordentown township,Burlington,"Bordentown township, Burlington County",2020,36806227,2744360
Bordentown township,Burlington,"Bordentown township, Burlington County",2021,36703844,2911453
Bound Brook borough,Somerset,"Bound Brook borough, Somerset County",2015,26391723,2955226
Bound Brook borough,Somerset,"Bound Brook borough, Somerset County",2016,26628374,2477177
Bound Brook borough,Somerset,"Bound Brook borough, Somerset County",2017,25856673,2641508
Bound Brook borough,Somerset,"Bound Brook borough, Somerset County",2018,27944885,3020504
Bound Brook borough,Somerset,"Bound Brook borough, Somerset County",2019,26861889,2880497
Bound Brook borough,Somerset,"Bound Brook borough, Somerset County",2020,27469123,2611304
Bound Brook borough,Somerset,"Bound Brook borough, Somerset County",2021,28299191,2753801
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth County",2015,16361855,1670301
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth County",2016,NDA,1415602
