Municipality,County,Year,Total Residential Electricity,Total Residential Natural Gas
Buena borough,Atlantic,2017,13620992,1022730
Buena borough,Atlantic,2018,25395314,1229877
Buena borough,Atlantic,2019,24117902,1160795
Buena borough,Atlantic,2020,13150015,1034123
Buena borough,Atlantic,2021,14244799,1173801
Buena Vista township,Atlantic,2015,38203619,1316723
Buena Vista township,Atlantic,2016,35997827,1163208
Buena Vista township,Atlantic,2017,32838715,1137328
Buena Vista township,Atlantic,2018,24108185,1409915
Buena Vista township,Atlantic,2019,22854566,1330421
Buena Vista township,Atlantic,2020,33355594,1252180
Buena Vista township,Atlantic,2021,33718307,1346340
Burlington city,Burlington,2015,29667394,2967185
Burlington city,Burlington,2016,29069759,2463705
Burlington city,Burlington,2017,27631968,2572904
Burlington city,Burlington,2018,29872735,2970857
Burlington city,Burlington,2019,29046798,2808930
Burlington city,Burlington,2020,29894507,2558025
Burlington city,Burlington,2021,31722537,2865180
Burlington township,Burlington,2015,74964199,6402371
Burlington township,Burlington,2016,74336017,5258470
Burlington township,Burlington,2017,70149497,5548862
Burlington township,Burlington,2018,72904856,6432310
Burlington township,Burlington,2019,69358515,6097124
Burlington township,Burlington,2020,71141020,5607920
Burlington township,Burlington,2021,71057006,6001329
Butler borough,Morris,2015,8487,2763970
Butler borough,Morris,2018,11125,2891258
Butler borough,Morris,2019,9725,2819713
Butler borough,Morris,2020,12085,2544946
Butler borough,Morris,2021,11252,2659080
Caldwell borough,Essex,2015,21956248,2528116
Caldwell borough,Essex,2016,21847681,2306442
Caldwell borough,Essex,2017,20871104,2332447
Caldwell borough,Essex,2018,21992380,2572473
Caldwell borough,Essex,2019,20927807,2498837
Caldwell borough,Essex,2020,22066922,2266946
Caldwell borough,Essex,2021,21918098,2316819
Califon borough,Hunterdon,2015,4694265,145285
Califon borough,Hunterdon,2018,4809432,182249
Califon borough,Hunterdon,2019,4624396,174233
Califon borough,Hunterdon,2020,4739121,271103
Califon borough,Hunterdon,2021,4881682,348950
Camden city,Camden,2015,155789502,17270701
Camden city,Camden,2016,157528296,15762576
Camden city,Camden,2017,159547230,16555321
Camden city,Camden,2018,160497124,17020016
Camden city,Camden,2019,156647964,15667915
Camden city,Camden,2020,162633958,14285494
Camden city,Camden,2021,170849691,15349246
Cape May City,Cape May,2015,32753952,1888078
Cape May City,Cape May,2016,31474903,1507332
Cape May City,Cape May,2017,29672586,1550916
Cape May City,Cape May,2018,33264143,1973667
Cape May City,Cape May,2019,31041878,1674251
Cape May City,Cape May,2020,31399800,1536500
Cape May City,Cape May,2021,32685539,1792932
Cape May Point borough,Cape May,2015,4478744,130273
Cape May Point borough,Cape May,2016,4261633,107546
Cape May Point borough,Cape May,2017,3988133,121487
Cape May Point borough,Cape May,2018,4565420,170965
Cape May Point borough,Cape May,2019,4254561,153320
Cape May Point borough,Cape May,2020,4397526,147583
Cape May Point borough,Cape May,2021,4644288,180234
Carlstadt borough,Bergen,2015,17610778,2086828
Carlstadt borough,Bergen,2016,16901648,1746442
Carlstadt borough,Bergen,2017,16003467,1767415
Carlstadt borough,Bergen,2018,16696343,1958377
Carlstadt borough,Bergen,2019,15833252,1893197
Carlstadt borough,Bergen,2020,16624547,1700202
Carlstadt borough,Bergen,2021,16416822,1758958
Carneys Point township,Salem,2015,21773671,1435276
Carneys Point township,Salem,2016,21353473,1204463
Carneys Point township,Salem,2017,19858048,1213136
Carneys Point township,Salem,2018,20942793,1465299
Carneys Point township,Salem,2019,20477912,1421615
Carneys Point township,Salem,2020,20422729,1136659
Carneys Point township,Salem,2021,20703087,1264270
Carteret borough,Middlesex,2015,59610310,4711201
Carteret borough,Middlesex,2016,63775672,5037120
Carteret borough,Middlesex,2017,62317207,5227190
Carteret borough,Middlesex,2018,60239886,6109503
Carteret borough,Middlesex,2019,56895792,5553193
Carteret borough,Middlesex,2020,59253127,8707081
Carteret borough,Middlesex,2021,60229708,10640242
Cedar Grove township,Essex,2015,43753318,5087020
Cedar Grove township,Essex,2016,42917578,4188151
Cedar Grove township,Essex,2017,41115187,4438981
Cedar Grove township,Essex,2018,43672401,5005461
Cedar Grove township,Essex,2019,41474204,4805960
Cedar Grove township,Essex,2020,44207263,4470894
Cedar Grove township,Essex,2021,45997170,4853046
Chatham borough,Morris,2015,30330190,3646908
Chatham borough,Morris,2018,29966033,3706067
Chatham borough,Morris,2019,29148561,3477287
Chatham borough,Morris,2020,30055783,3240315
Chatham borough,Morris,2021,31045990,3412470
Chatham township,Morris,2015,46985969,4571519
Chatham township,Morris,2018,46319828,4837731
Chatham township,Morris,2019,44518266,4528181
Chatham township,Morris,2020,45795151,4288658
